"코드","종목명","액면가"
"284740","쿠쿠홈시스","100"
"001725","신영증권우","5,000"
"002030","아세아","5,000"
"530102","삼성 인버스 2X 천연가스 선물 ETN C","0"
"071320","지역난방공사","5,000"
"012630","HDC","5,000"
"003000","부광약품","500"
"058650","세아홀딩스","5,000"
"020000","한섬","500"
"001470","삼부토건","1,000"
"034120","SBS","5,000"
"475630","TIGER 1년은행양도성예금증서액티브(합성)","0"
"377740","바이오노트","500"
"357120","코람코라이프인프라리츠","500"
"007810","코리아써키트","500"
"446720","SOL 미국배당다우존스","0"
"249420","일동제약","1,000"
"017940","E1","5,000"
"458760","TIGER 미국배당+7%프리미엄다우존스","0"
"097520","엠씨넥스","500"
"196230","KBSTAR 단기통안채","0"
"001940","KISCO홀딩스","1,000"
"011930","신성이엔지","500"
"183190","아세아시멘트","500"
"241590","화승엔터프라이즈","500"
"123890","한국자산신탁","500"
"001200","유진투자증권","5,000"
"003920","남양유업","5,000"
"432320","KB스타리츠","500"
"001390","KG케미칼","1,000"
"006405","삼성SDI우","5,000"
"002310","아세아제지","5,000"
"018250","애경산업","1,000"
"010690","화신","500"
"003545","대신증권우","5,000"
"093050","LF","5,000"
"448730","삼성FN리츠","500"
"011500","한농화성","500"
"453340","현대그린푸드","500"
"016800","퍼시스","1,000"
"251340","KODEX 코스닥150선물인버스","0"
"017810","풀무원","500"
"385560","KBSTAR KIS국고채30년Enhanced","0"
"114260","KODEX 국고채3년","0"
"094800","맵스리얼티1","0"
"004690","삼천리","5,000"
"368590","KBSTAR 미국나스닥100","0"
"306200","세아제강","5,000"
"091170","KODEX 은행","0"
"003300","한일홀딩스","1,000"
"329200","TIGER 리츠부동산인프라","0"
"033270","유나이티드제약","500"
"126560","현대퓨처넷","500"
"084690","대상홀딩스","1,000"
"006220","제주은행","5,000"
"003520","영진약품","500"
"005690","파미셀","500"
"029530","신도리코","5,000"
"009290","광동제약","1,000"
"090435","아모레퍼시픽우","500"
"458250","TIGER 미국채30년스트립액티브(합성 H)","0"
"025860","남해화학","1,000"
"027410","BGF","1,000"
"005389","현대차3우B","5,000"
"451800","한화리츠","500"
"093230","이아이디","200"
"108670","LX하우시스","5,000"
"364980","TIGER 2차전지TOP10","0"
"365780","ACE 국고채10년","0"
"007690","국도화학","5,000"
"060980","HL홀딩스","5,000"
"036530","SNT홀딩스","500"
"001340","백광산업","500"
"004700","조광피혁","5,000"
"004430","송원산업","500"
"273140","KODEX 단기변동금리부채권액티브","0"
"002320","한진","5,000"
"069660","KOSEF 200","0"
"005090","SGC에너지","5,000"
"000680","LS네트웍스","5,000"
"451540","TIGER 종합채권(AA-이상)액티브","0"
"003220","대원제약","500"
"005950","이수화학","5,000"
"00088","한화3우B","5,000"
"467940","KODEX 25-11 회사채(A+이상)액티브","0"
"075580","세진중공업","500"
"000490","대동","1,000"
"000430","대원강업","500"
"001820","삼화콘덴서","1,000"
"003960","사조대림","5,000"
"394660","TIGER 글로벌자율주행&전기차SOLACTIVE","0"
"226490","KODEX 코스피","0"
"051905","LG생활건강우","5,000"
"455030","KODEX 미국달러SOFR금리액티브(합성)","0"
"241180","TIGER 일본니케이225","0"
"520009","미래에셋 레버리지 원유선물혼합 ETN(H)","0"
"161510","ARIRANG 고배당주","0"
"251350","KODEX 선진국MSCI World","0"
"455850","SOL AI반도체소부장","0"
"304660","KODEX 미국채울트라30년선물(H)","0"
"002960","한국쉘석유","5,000"
"001630","종근당홀딩스","2,500"
"302190","TIGER 중장기국채","0"
"394670","TIGER 글로벌리튬&2차전지SOLACTIVE(합성)","0"
"004560","현대비앤지스틸","5,000"
"298690","에어부산","1,000"
"126720","수산인더스트리","200"
"072710","농심홀딩스","5,000"
"570090","한투 KIS CD금리투자 ETN","0"
"088260","이리츠코크렙","500"
"012030","DB","500"
"001780","알루코","500"
"092220","KEC","500"
"00104","CJ4우(전환)","5,000"
"003160","디아이","500"
"439870","KODEX 국고채30년액티브","0"
"104700","한국철강","1,000"
"379780","KBSTAR 미국S&P500","0"
"453870","TIGER 인도니프티50","0"
"077970","STX엔진","2,500"
"084010","대한제강","1,000"
"058430","포스코스틸리온","5,000"
"026890","스틱인베스트먼트","500"
"115390","락앤락","500"
"005810","풍산홀딩스","5,000"
"024720","한국콜마홀딩스","500"
"004380","삼익THK","500"
"001460","BYC","5,000"
"001500","현대차증권","5,000"
"001790","대한제당","500"
"000480","CR홀딩스","500"
"001510","SK증권","500"
"003120","일성신약","1,000"
"097230","HJ중공업","5,000"
"122900","아이마켓코리아","500"
"071970","STX중공업","2,500"
"003580","HLB글로벌","500"
"013890","지누스","500"
"006390","한일현대시멘트","5,000"
"441680","TIGER 미국나스닥100커버드콜(합성)","0"
"102460","이연제약","500"
"017390","서울가스","5,000"
"029460","케이씨","500"
"084680","이월드","1,000"
"272550","삼양패키징","5,000"
"000540","흥국화재","5,000"
"005500","삼진제약","1,000"
"138490","코오롱플라스틱","1,000"
"439860","KODEX ESG종합채권(A-이상)액티브","0"
"008490","서흥","500"
"071055","한국금융지주우","5,000"
"005010","휴스틸","1,000"
"011810","STX","2,500"
"452260","한화갤러리아","500"
"095720","웅진씽크빅","500"
"007570","일양약품","2,500"
"009160","SIMPAC","500"
"037270","YG PLUS","500"
"001270","부국증권","5,000"
"009680","모토닉","500"
"000020","동화약품","1,000"
"035150","백산","500"
"016580","환인제약","500"
"005390","신성통상","500"
"037560","LG헬로비전","2,500"
"053210","스카이라이프","2,500"
"002810","삼영무역","500"
"469830","SOL 초단기채권액티브","0"
"272560","KBSTAR 단기국공채액티브","0"
"034830","한국토지신탁","1,000"
"001230","동국홀딩스","5,000"
"008350","남선알미늄","500"
"002150","도화엔지니어링","500"
"453810","KODEX 인도Nifty50","0"
"298000","효성화학","5,000"
"226320","잇츠한불","500"
"016590","신대양제지","500"
"322000","HD현대에너지솔루션","5,000"
"018470","조일알미늄","500"
"002900","TYM","2,500"
"213500","한솔제지","5,000"
"007460","에이프로젠","500"
"290130","KBSTAR ESG사회책임투자","0"
"245710","ACE 베트남VN30(합성)","0"
"130660","한전산업","500"
"295040","SOL 200TR","0"
